date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:28	23269/23269	---MCZ	200	added ('OK')	text/html	etag:W/%2263740691-5ae5%22	https://ui-themez.smartinnovates.net/items/daniels/creative.html	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/creative.html	(from )
11:21:29	121/121	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Nov%202023%2004:21:35%20GMT	https://ui-themez.smartinnovates.net/robots.txt		(from )
11:21:29	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22637406ad-13e%22	https://ui-themez.smartinnovates.net/items/daniels/img/favicon.ico	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/favicon.ico	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:29	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%2263740696-1d970%22	https://ui-themez.smartinnovates.net/items/daniels/css/bootstrap.min.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/bootstrap.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:30	3228/3228	---MCZ	200	added ('OK')	text/css	etag:W/%2263740697-c9c%22	https://ui-themez.smartinnovates.net/items/daniels/css/owl.carousel.min.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/owl.carousel.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:30	1003/1003	---MCZ	200	added ('OK')	text/css	etag:W/%2263740697-3eb%22	https://ui-themez.smartinnovates.net/items/daniels/css/owl.theme.default.min.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/owl.theme.default.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:30	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2263740696-1b27%22	https://ui-themez.smartinnovates.net/items/daniels/css/magnific-popup.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/magnific-popup.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:30	16952/16952	---MCZ	200	added ('OK')	text/css	etag:W/%2263740695-4238%22	https://ui-themez.smartinnovates.net/items/daniels/css/animate.min.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/animate.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2263740696-7918%22	https://ui-themez.smartinnovates.net/items/daniels/css/font-awesome.min.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/font-awesome.min.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:31	7067/7067	---MCZ	200	added ('OK')	text/css	etag:W/%2263740695-1b9b%22	https://ui-themez.smartinnovates.net/items/daniels/css/et-line.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/et-line.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:31	20132/20132	---MCZ	200	added ('OK')	text/css	etag:W/%2263740697-4ea4%22	https://ui-themez.smartinnovates.net/items/daniels/css/style.css	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/css/style.css	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:31	2730/2730	---MCZ	200	added ('OK')	application/javascript	etag:W/%22637406b7-aaa%22	https://ui-themez.smartinnovates.net/items/daniels/js/html5shiv.min.js	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/js/html5shiv.min.js	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:33	4954/4954	---M--	200	added ('OK')	image/jpeg	etag:%22637406c6-135a%22	https://ui-themez.smartinnovates.net/items/daniels/img/portfolio/1.jpg	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/portfolio/1.jpg	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:34	12506/12506	---M--	200	added ('OK')	image/jpeg	etag:%22637406c6-30da%22	https://ui-themez.smartinnovates.net/items/daniels/img/portfolio/2.jpg	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/portfolio/2.jpg	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:34	14044/14044	---M--	200	added ('OK')	image/jpeg	etag:%22637406c6-36dc%22	https://ui-themez.smartinnovates.net/items/daniels/img/portfolio/3.jpg	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/portfolio/3.jpg	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:34	12123/12123	---M--	200	added ('OK')	image/jpeg	etag:%22637406c6-2f5b%22	https://ui-themez.smartinnovates.net/items/daniels/img/portfolio/4.jpg	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/portfolio/4.jpg	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:34	17136/17136	---M--	200	added ('OK')	image/jpeg	etag:%22637406c7-42f0%22	https://ui-themez.smartinnovates.net/items/daniels/img/portfolio/5.jpg	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/portfolio/5.jpg	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
11:21:34	233080/233080	---M--	200	added ('OK')	image/jpeg	etag:%22637406b0-38e78%22	https://ui-themez.smartinnovates.net/items/daniels/img/hero.jpg	E:/Muhammad%20Nabiil/TUGAS/PROJECT%20WEB%20PORTOFOLIO%20NABIL/ui-themez.smartinnovates.net/items/daniels/img/hero.jpg	(from https://ui-themez.smartinnovates.net/items/daniels/creative.html)
